English,Gloss,Href
My sister is having another baby.,ANOTHER BABY MY SISTER BORN-WILL.,https://www.signingsavvy.com/sentences/family/5074
My daughter gave me beautiful flowers.,BEAUTIFUL FLOWERS MY DAUGHTER GIVE-ME.,https://www.signingsavvy.com/sentences/family/5075
My brother is thin because he exercises everyday.,MY BROTHER THIN WHY? (because) EXERCISE EVERYDAY.,https://www.signingsavvy.com/sentences/family/5076
I enjoy playing with my cousins at my grandmother's house.,GRANDMOTHER'S HOUSE COUSINS PLAY-AROUND I ENJOY.,https://www.signingsavvy.com/sentences/family/5077
My sister is Deaf and goes to Gallaudet University.,GALLAUDET UNIVERSITY MY DEAF SISTER GO-TO.,https://www.signingsavvy.com/sentences/family/5078
Luckily my family is very supportive.,LUCKY ME WHY? MY FAMILY SUPPORT ME!,https://www.signingsavvy.com/sentences/family/5079
My grandfather is a dairy farmer.,MY GRANDFATHER WORK WHAT? DAIRY FARMER.,https://www.signingsavvy.com/sentences/family/5080
My father-in-law worked at a factory for twenty-five years.,25 YEARS FACTORY MY FATHER-IN-LAW WORK WORK WORK.,https://www.signingsavvy.com/sentences/family/5081
My family grows watermelon in our garden.,OUR G-A-R-D-E-N WATERMELON MY FAMILY GROW GROW GROW.,https://www.signingsavvy.com/sentences/family/5082
Every Tuesday my family has game night.,EVERY TUESDAY MY FAMILY DO-DO? GAME NIGHT.,https://www.signingsavvy.com/sentences/family/5083
My daughter is always happy.,MY DAUGHTER SHE ALWAYS HAPPY.,https://www.signingsavvy.com/sentences/family/5084
My mother-in-law has been very sick recently.,MY MOTHER-IN-LAW RECENTLY SICK (emphasized).,https://www.signingsavvy.com/sentences/family/5085
My grandfather is a silly man.,MY GRANDFATHER SILLY MAN.,https://www.signingsavvy.com/sentences/family/5086
My aunt makes the best cakes!,BEST CAKES MAKE WHO? MY AUNT.,https://www.signingsavvy.com/sentences/family/5087
My son is going to law school at the University of Michigan.,LAW SCHOOL MY SON GO WHERE? UNIVERSITY M-I-C-H.,https://www.signingsavvy.com/sentences/family/5088
My grandma bakes an apple pie every year for my birthday.,EVERY YEAR MY BIRTHDAY APPLE PIE MY GRANDMA BAKE.,https://www.signingsavvy.com/sentences/family/5089
My uncle is very good at telling tales of his life on the farm.,TALES MY UNCLE GOOD ABOUT WHAT? GROW UP FARM.,https://www.signingsavvy.com/sentences/family/5090
I have a new stepmother.,NEW S-T-E-P MOTHER I HAVE.,https://www.signingsavvy.com/sentences/family/5091
"My son is not happy, I bought the wrong cereal.",MY SON NOT HAPPY WHY WRONG C-E-R-E-A-L I BUY.,https://www.signingsavvy.com/sentences/family/5092
My daughter takes dance lessons every Saturday morning.,EVERY SATURDAY MORNING DANCE LESSONS MY DAUGHTER TAKE.,https://www.signingsavvy.com/sentences/family/5093
My son plans to join the armed forces after high school.,FINISH H-S ARMED FORCES JOIN MY SON PLANS.,https://www.signingsavvy.com/sentences/family/5094
My uncle always has a gray beard.,GRAY BEARD MY UNCLE ALWAYS HAS.,https://www.signingsavvy.com/sentences/family/5095
My family is going to grandma's house for Easter.,EASTER GRANDMA'S HOUSE MY FAMILY GO-TO.,https://www.signingsavvy.com/sentences/family/5096
My father plays golf every morning.,EVERY MORNING MY FATHER PLAY GOLF.,https://www.signingsavvy.com/sentences/family/5097
My niece got a pink guitar for Christmas.,CHRISTMAS MY NIECE GOT WHAT? PINK GUITAR.,https://www.signingsavvy.com/sentences/family/5098
My grandfather used to hunt for deer.,LONG TIME AGO MY GRANDFATHER DEER HE HUNT.,https://www.signingsavvy.com/sentences/family/5099
My dad always kisses my mom bye.,MY DAD KISS MY MOM BYE ALWAYS.,https://www.signingsavvy.com/sentences/family/5100
I bought my kids new pajamas for Christmas.,CHRISTMAS NEW PAJAMAS I BOUGHT MY KIDS.,https://www.signingsavvy.com/sentences/family/5101
I will go to my parent's house for dinner.,MY PARENTS HOUSE DINNER GO WILL I.,https://www.signingsavvy.com/sentences/family/5102
Thirty people will go to the family picnic next Saturday.,NEXT SATURDAY FAMILY PICNIC 30 PEOPLE GO.,https://www.signingsavvy.com/sentences/family/5103
My daughter's bedroom is pink and white.,MY DAUGHTER HER BEDROOM PINK WHITE.,https://www.signingsavvy.com/sentences/family/5104
My mother’s baked potato soup is the BEST!,MY MOTHER HER B-A-K-E-D POTATO SOUP CHAMP (BEST).,https://www.signingsavvy.com/sentences/family/5105
My ex-husband and I are never reconciling.,MY EX-HUSBAND TWO-OF-US #BACK (reconcile) NEVER!,https://www.signingsavvy.com/sentences/family/5106
My mother’s favorite flower is a rose.,MY MOTHER HER FAVORITE FLOWER WHAT? ROSE.,https://www.signingsavvy.com/sentences/family/5107
My mom will make me peanut butter and jelly sandwiches for lunch.,LUNCH PEANUT BUTTER J-E-L-L-Y SANDWICHES MY MOM MAKE WILL.,https://www.signingsavvy.com/sentences/family/5108
