English,Gloss_Translation
My sister is having another baby.,MY SISTER PREGNANT AGAIN BABY COMING
My daughter gave me beautiful flowers.,DAUGHTER MY GIVE-ME FLOWER BEAUTIFUL
My brother is thin because he exercises everyday.,MY BROTHER THIN WHY EVERYDAY EXERCISE
I enjoy playing with my cousins at my grandmother's house.,ME ENJOY PLAY WITH COUSINS GRANDMOTHER HOUSE
My sister is Deaf and goes to Gallaudet University.,SISTER MY DEAF GALLAUDET UNIVERSITY GO
Luckily my family is very supportive.,LUCKY FAMILY MY NMF:SUPPORT-ME STRONG
My grandfather is a dairy farmer.,GRANDFATHER MY DAIRY FARM WORK
My father-in-law worked at a factory for twenty-five years.,FATHER-IN-LAW WORK FACTORY TWENTY-FIVE YEAR
My family grows watermelon in our garden.,FAMILY POSS-MY GARDEN WATERMELON GROW
Every Tuesday my family has game night.,EVERY TUESDAY FAMILY GAME NIGHT HAVE
My daughter is always happy.,MY DAUGHTER ALWAYS HAPPY
My mother-in-law has been very sick recently.,MY MOTHER-IN-LAW RECENT TIME VERY SICK
My grandfather is a silly man.,GRANDFATHER MY SILLY PERSON
My aunt makes the best cakes!,MY AUNT CAKE MAKE BEST
My son is going to law school at the University of Michigan.,SON MY LAW SCHOOL GO-TO UNIVERSITY FS:MICHIGAN
My grandma bakes an apple pie every year for my birthday.,BIRTHDAY MY EVERY-YEAR GRANDMA APPLE PIE BAKE
My uncle is very good at telling tales of his life on the farm.,UNCLE ME HAVE SKILL TELL STORY FARM LIFE PAST
I have a new stepmother.,ME NEW STEPMOTHER HAVE
"My son is not happy, I bought the wrong cereal.","SON NMF:ME HAPPY NOT, CEREAL WRONG NMF:ME BUY FINISH"
My daughter takes dance lessons every Saturday morning.,DAUGHTER MY DANCE LESSON ATTEND EVERY SATURDAY MORNING
My son plans to join the armed forces after high school.,SON FUTURE PLAN AFTER SCHOOL FINISH JOIN ARMY
My uncle always has a gray beard.,UNCLE POSS-MY ALWAYS BEARD GREY HAVE
My family is going to grandma's house for Easter.,EASTER FAMILY GRANDMA HOUSE GO
My father plays golf every morning.,FATHER GOLF PLAY EVERY MORNING
My niece got a pink guitar for Christmas.,CHRISTMAS PAST MY NIECE RECEIVE WHAT GUITAR PINK
My grandfather used to hunt for deer.,GRANDFATHER PAST HUNT DEER
My dad always kisses my mom bye.,DAD ALWAYS MUM KISS BYE
I bought my kids new pajamas for Christmas.,CHRISTMAS ME BUY NEW PAJAMAS FOR-WHO MY CHILDREN
I will go to my parent's house for dinner.,TONIGHT PARENT HOUSE ME GO DINNER
Thirty people will go to the family picnic next Saturday.,NEXT SATURDAY FAMILY PICNIC THIRTY PEOPLE GO WILL
My daughter's bedroom is pink and white.,MY DAUGHTER BEDROOM COLOUR PINK ALSO WHITE
My mother’s baked potato soup is the BEST!,MOTHER POTATO SOUP COOK BEST
My ex-husband and I are never reconciling.,EX-HUSBAND NMF:ME NEVER RECONCILE FINISH
My mother’s favorite flower is a rose.,MOTHER FAVORITE FLOWER ROSE
My mom will make me peanut butter and jelly sandwiches for lunch.,MOM ME LUNCH SANDWICH PEANUT-BUTTER JELLY MAKE WILL
My parents live in a senior citizen community.,PARENTS MINE LIVE COMMUNITY OLDER-PEOPLE
My father's side of the family is hispanic.,FATHER SIDE FAMILY HISPANIC
My grandma bakes cherry pie for my birthday.,BIRTHDAY MY GRANDMA CHERRY PIE BAKE FOR-ME
Stories about our ancestors are an important part of our heritage.,STORY ABOUT OUR ANCESTOR IMPORTANT PART OUR HERITAGE
My grandma likes to hug everybody.,GRANDMOTHER LIKE HUG EVERYONE
Ludwig van Beethoven was a famous composer from Germany who became deaf. He was still able to create and play music.,LUDWIG VAN BEETHOVEN FAMOUS COMPOSER FROM GERMANY BECOME DEAF ['POINT-RIGHT HE'] STILL CREATE PLAY MUSIC
My two sisters are total opposites!,ME TWO SISTER BOTH DIFFERENT COMPLETE
My brother collects old records.,BROTHER MY COLLECT OLD RECORD
My sister has red hair.,MY SISTER HAIR RED
"Instead of prison, my cousin John, must do 300 hours of community service.",PRISON NO INSTEAD MY COUSIN JOHN MUST COMMUNITY SERVICE THREE-HUNDRED HOUR
I gave my mother a new sewing machine for her birthday.,NMF:ME MOTHER BIRTHDAY GIVE SEWING MACHINE NEW
My brother always finds good deals because he is thrifty.,BROTHER POINT-RIGHT HE ALWAYS FIND GOOD BARGAIN WHY NMF:PERSON MAN CAREFUL-MONEY
My sister is a very famous chef.,SISTER MY CHEF FAMOUS VERY
My family went raspberry picking last weekend.,LAST WEEKEND FAMILY MY RASPBERRY PICK GO
My uncle has a turkey farm.,UNCLE POSSESS TURKEY FARM
My family goes to the strawberry farm every summer.,FAMILY MY STRAWBERRY FARM GO EVERY SUMMER
I really like to fish with my dad.,NMF:ME LOVE FISH WITH DAD
I had a conversation with my neighbor yesterday.,YESTERDAY NMF:ME NEIGHBOR CONVERSATION BEEN
My neighbor is nice.,NEIGHBOR POINT-RIGHT NICE
